Customer_Id,Age,Gender,Location,Interests,Preferences,Income per year,Occupation
CUST001,57,Male,New York,"Mortgage Payments, Travel, Streaming Services, Gaming","Credit Cards, Cashback, Early Access Deals",36416,Banker
CUST002,25,Male,Boston,"Mortgage Payments, Sustainable Living, Travel","Low Interest Rates, Cashback, Loyalty Programs",195837,Entrepreneur
CUST003,42,Male,Chicago,"Travel, Investments, Luxury Shopping","Personal Loan, Credit Cards",47489,Data Scientist
CUST004,44,Female,San Francisco,"Sustainable Living, Fitness, Healthcare, Dining","Home Loan, Credit Cards, Discounts, Rewards",96037,Marketing Manager
CUST005,61,Male,Boston,"Travel, Streaming Services, Real Estate","Discounts, New Arrival, ETF",76505,Software Engineer
CUST006,63,Female,New York,"Technology, Education, Insurance, Healthcare","Low Interest Rates, ETF",76924,Nurse
CUST007,26,Male,San Francisco,"Mortgage Payments, Gaming, Travel, Dining","Exclusive Offers, Credit Cards, ETF",175133,Pilot
CUST008,52,Female,Chicago,"Sustainable Living, Investments, Technology, Healthcare, Gaming","Loyalty Programs, Cashback, Early Access Deals, Exclusive Offers",89498,Consultant
CUST009,48,Female,Boston,"Travel, Investments, Gaming, Education","Credit Cards, Home Loan, Early Access Deals, Personal Loan",131396,Freelancer
CUST010,49,Female,Los Angeles,"Gaming, Travel, Healthcare, Technology","Early Access Deals, Cashback, New Arrival",68909,Business Analyst
CUST011,28,Female,San Francisco,"Streaming Services, Education, Technology, Cryptocurrency","Loyalty Programs, Personal Loan, Early Access Deals, Home Loan",116748,Sales Executive
CUST012,20,Male,Los Angeles,"Mortgage Payments, Streaming Services, Gaming, Insurance, Technology","ETF, Personal Loan, Credit Cards",47040,Nurse
CUST013,60,Female,San Francisco,"Gaming, Dining, Technology, Luxury Shopping","Low Interest Rates, Home Loan, Early Access Deals, Loyalty Programs",129564,Marketing Manager
CUST014,55,Male,San Francisco,"Streaming Services, Cryptocurrency, Dining","Personal Loan, Home Loan, New Arrival",90230,Marketing Manager
CUST015,18,Male,Chicago,"Streaming Services, Insurance, Technology, Healthcare","ETF, Low Interest Rates, Rewards",158300,Pilot
CUST016,53,Female,San Francisco,"Gaming, Fitness, Mortgage Payments","Rewards, Discounts",189623,Marketing Manager
CUST017,65,Female,Boston,"Education, Streaming Services, Insurance","Exclusive Offers, Loyalty Programs, New Arrival",181122,Banker
CUST018,69,Female,Chicago,"Sustainable Living, Streaming Services, Insurance, Mortgage Payments, Real Estate","Low Interest Rates, Exclusive Offers",31393,Doctor
CUST019,37,Male,New York,"Mortgage Payments, Dining, Travel, Fitness","New Arrival, Early Access Deals, Personal Loan",184215,Doctor
CUST020,38,Male,Boston,"Insurance, Travel, Cryptocurrency","Rewards, Credit Cards, Exclusive Offers",45600,Software Engineer
